language,apple_locale,google_locale,app_name,subtitle_ios_30,short_desc_play_80,keywords_ios_100,whats_new,description
English,en-US,en-US,Nour — Islamic App,"Dhikr, Duas & Quran Daily","Daily dhikr, duas, Quran & Islamic quiz. Your spiritual companion.","dhikr,dua,quran,islam,prayer,muslim,ayah,tasbih,hadith,zakat,adhkar,islamic,salah,quiz,nour","Welcome to Nour — Version 1.0 🌟

We're live! Nour is here to be your daily Islamic companion, wherever you are in the world.

This first version includes:
• Daily dhikr, dua & ayah
• Adhkars & duas library
• Quran with 10 reciters
• Islamic quiz
• Streaks, achievements & badges
• Sadaqa & Zakat calculator
• Nour Impact — charitable giving
• Smart notifications
• Available in 11 languages

Premium features coming soon. 🌙
Jazakum Allahu Khayran 🤲","In the rush of daily life, it's easy to lose sight of what matters most.

Nour brings you back — one dhikr, one ayah, one dua at a time.

Whether you're on the subway, between meetings, or lying in bed at night — Nour is that quiet moment of connection with Allah that your soul has been looking for.

———

🌟 DAILY SPIRITUAL DOSE
Every morning, a new dhikr, ayah, and dua waiting for you. A gentle nudge to start your day with what truly matters.

📿 DHIKR & DUA LIBRARY
Hundreds of authentic adhkars and duas for every moment of your day. Morning. Evening. Before sleep. After prayer. Nour has you covered.

📖 QURAN
10 renowned reciters. Let the words of Allah be the soundtrack of your life.

🧠 ISLAMIC QUIZ
Grow your knowledge of Islam, one question at a time. Because learning never stops on this path.

💛 NOUR IMPACT
Your sadaqa, made transparent. See exactly where your giving goes — and the lives it changes. Calculate your Zakat in seconds.

🔔 SMART NOTIFICATIONS
A gentle reminder when your day gets too loud. Because some things are worth being interrupted for.

⭐ STREAKS & ACHIEVEMENTS
Small steps. Every day. Watch your spiritual habits grow stronger without even realizing it.

———

Available in 11 languages.
Built with love, for the global Muslim community.

This is Nour.
Your light. Your daily companion. Your path back.

Download Nour. Begin your journey."
French / Français,fr-FR,fr-FR,Nour — Application Islamique,"Dhikr, Doua & Coran quotidien","Dhikr, douas, Coran et quiz islamique au quotidien. Votre compagnon spirituel.","dhikr,doua,coran,islam,prière,musulman,verset,tasbih,hadith,zakat,adhkar,salat,quiz,nour","Bienvenue sur Nour — Version 1.0 🌟

Nous sommes en ligne ! Nour est là pour être votre compagnon islamique au quotidien, où que vous soyez dans le monde.

Cette première version comprend :
• Dhikr, doua et verset du jour
• Bibliothèque d'adhkars et de douas
• Coran avec 10 récitateurs
• Quiz islamique
• Séries, accomplissements et badges
• Calculateur de Sadaqa et Zakat
• Nour Impact — dons caritatifs
• Notifications intelligentes
• Disponible en 11 langues

Fonctionnalités premium bientôt disponibles. 🌙
Jazakum Allahu Khayran 🤲","Dans la précipitation du quotidien, il est facile de perdre de vue l'essentiel.

Nour vous ramène — un dhikr, un verset, une doua à la fois.

Que vous soyez dans le métro, entre deux réunions, ou allongé dans votre lit la nuit — Nour est ce moment de connexion paisible avec Allah que votre âme recherchait.

———

🌟 DOSE SPIRITUELLE QUOTIDIENNE
Chaque matin, un nouveau dhikr, un verset et une doua vous attendent. Un doux rappel pour commencer votre journée par ce qui compte vraiment.

📿 BIBLIOTHÈQUE DE DHIKR & DOUA
Des centaines d'adhkars et de douas authentiques pour chaque moment de votre journée. Le matin. Le soir. Avant de dormir. Après la prière. Nour est là pour vous.

📖 CORAN
10 récitateurs renommés. Laissez les paroles d'Allah devenir la bande-son de votre vie.

🧠 QUIZ ISLAMIQUE
Enrichissez votre connaissance de l'Islam, une question à la fois. Parce que l'apprentissage ne s'arrête jamais sur ce chemin.

💛 NOUR IMPACT
Votre sadaqa, en toute transparence. Voyez exactement où va votre don — et les vies qu'il transforme. Calculez votre Zakat en quelques secondes.

🔔 NOTIFICATIONS INTELLIGENTES
Un doux rappel quand votre journée devient trop bruyante. Parce que certaines choses méritent qu'on s'interrompe.

⭐ SÉRIES & ACCOMPLISSEMENTS
De petits pas. Chaque jour. Regardez vos habitudes spirituelles se renforcer sans même vous en rendre compte.

———

Disponible en 11 langues.
Conçu avec amour, pour la communauté musulmane mondiale.

Voici Nour.
Votre lumière. Votre compagnon quotidien. Votre chemin de retour.

Téléchargez Nour. Commencez votre voyage."
Arabic / العربية,ar-SA,ar,نور — تطبيق إسلامي,أذكار وأدعية والقرآن يوميًا,أذكار وأدعية يومية، القرآن واختبار إسلامي. رفيقك الروحي.,"ذكر,دعاء,قرآن,إسلام,صلاة,مسلم,آية,تسبيح,حديث,زكاة,أذكار,إسلامي,نور,اختبار,دين","مرحبًا بك في نور — الإصدار 1.0 🌟

أصبحنا متاحين! نور هنا ليكون رفيقك الإسلامي اليومي، أينما كنت في العالم.

يتضمن هذا الإصدار الأول:
• ذكر ودعاء وآية كل يوم
• مكتبة الأذكار والأدعية
• القرآن مع 10 قُرّاء
• اختبار إسلامي
• سلاسل الإنجاز والأوسمة
• حاسبة الصدقة والزكاة
• نور إمباكت — التبرعات الخيرية
• إشعارات ذكية
• متوفر بـ 11 لغة

ميزات بريميوم قريبًا. 🌙
جزاكم الله خيرًا 🤲","في زحمة الحياة اليومية، من السهل أن نفقد ما هو أهم.

نور يعيدك — ذِكرًا واحدًا، آيةً واحدة، دعاءً واحدًا في كل مرة.

سواء كنت في المترو، بين الاجتماعات، أو مستلقيًا في فراشك ليلًا — نور هو تلك اللحظة الهادئة من التواصل مع الله التي كانت روحك تبحث عنها.

———

🌟 جرعتك الروحية اليومية
كل صباح، ذكر وآية ودعاء جديد بانتظارك. تذكير لطيف لتبدأ يومك بما يهم حقًا.

📿 مكتبة الأذكار والأدعية
مئات الأذكار والأدعية الصحيحة لكل لحظة من يومك. الصباح. المساء. قبل النوم. بعد الصلاة. نور معك دائمًا.

📖 القرآن
10 قُرّاء مشهورون. دع كلام الله يكون رفيق حياتك.

🧠 اختبار إسلامي
نمِّ معرفتك بالإسلام، سؤالًا تلو الآخر. لأن التعلم لا يتوقف على هذا الطريق.

💛 نور إمباكت
صدقتك، بكل شفافية. شاهد أين تذهب تبرعاتك بالضبط — والأرواح التي تغيّرها. احسب زكاتك في ثوانٍ.

🔔 إشعارات ذكية
تذكير لطيف عندما يصبح يومك صاخبًا. لأن بعض الأمور تستحق أن نتوقف من أجلها.

⭐ السلاسل والإنجازات
خطوات صغيرة. كل يوم. شاهد عاداتك الروحية تزداد قوة دون أن تشعر.

———

متوفر بـ 11 لغة.
صُنع بحب، للمجتمع المسلم حول العالم.

هذا هو نور.
نورك. رفيقك اليومي. طريق عودتك.

حمّل نور. ابدأ رحلتك."
German / Deutsch,de-DE,de-DE,Nour — Islamische App,"Dhikr, Duas & Koran täglich","Täglich Dhikr, Duas, Koran & islamisches Quiz. Dein spiritueller Begleiter.","dhikr,dua,koran,islam,gebet,muslim,aya,tasbih,hadith,zakat,adhkar,islamisch,salah,quiz,nour","Willkommen bei Nour — Version 1.0 🌟

Wir sind live! Nour ist dein täglicher islamischer Begleiter, wo immer du auf der Welt bist.

Diese erste Version enthält:
• Täglich Dhikr, Dua & Aya
• Bibliothek mit Adhkar & Duas
• Koran mit 10 Rezitatoren
• Islamisches Quiz
• Serien, Erfolge & Abzeichen
• Sadaqa- & Zakat-Rechner
• Nour Impact — wohltätige Spenden
• Intelligente Benachrichtigungen
• Verfügbar in 11 Sprachen

Premium-Funktionen folgen bald. 🌙
Jazakum Allahu Khayran 🤲","In der Hektik des Alltags verliert man leicht aus den Augen, was wirklich zählt.

Nour bringt dich zurück — ein Dhikr, eine Aya, ein Dua nach dem anderen.

Ob in der U-Bahn, zwischen zwei Terminen oder nachts im Bett — Nour ist dieser stille Moment der Verbindung mit Allah, nach dem deine Seele gesucht hat.

———

🌟 TÄGLICHE SPIRITUELLE DOSIS
Jeden Morgen warten ein neues Dhikr, eine Aya und ein Dua auf dich. Ein sanfter Anstoß, um deinen Tag mit dem zu beginnen, was wirklich wichtig ist.

📿 DHIKR- & DUA-BIBLIOTHEK
Hunderte authentische Adhkar und Duas für jeden Moment deines Tages. Morgens. Abends. Vor dem Schlafen. Nach dem Gebet. Nour ist für dich da.

📖 KORAN
10 renommierte Rezitatoren. Lass die Worte Allahs zur Klangkulisse deines Lebens werden.

🧠 ISLAMISCHES QUIZ
Erweitere dein Wissen über den Islam, eine Frage nach der anderen. Denn das Lernen hört auf diesem Weg nie auf.

💛 NOUR IMPACT
Deine Sadaqa, transparent gemacht. Sieh genau, wohin deine Spende geht — und welche Leben sie verändert. Berechne deine Zakat in Sekunden.

🔔 INTELLIGENTE BENACHRICHTIGUNGEN
Eine sanfte Erinnerung, wenn dein Tag zu laut wird. Denn manche Dinge sind es wert, dafür unterbrochen zu werden.

⭐ SERIEN & ERFOLGE
Kleine Schritte. Jeden Tag. Sieh zu, wie deine spirituellen Gewohnheiten stärker werden, ohne dass du es merkst.

———

Verfügbar in 11 Sprachen.
Mit Liebe entwickelt, für die muslimische Gemeinschaft weltweit.

Das ist Nour.
Dein Licht. Dein täglicher Begleiter. Dein Weg zurück.

Lade Nour herunter. Beginne deine Reise."
Dutch / Nederlands,nl-NL,nl-NL,Nour — Islamitische App,"Dhikr, Doea & Koran dagelijks","Dagelijks dhikr, doea's, Koran & islamquiz. Jouw spirituele metgezel.","dhikr,doea,koran,islam,gebed,moslim,aya,tasbih,hadith,zakat,adhkar,salat,quiz,nour","Welkom bij Nour — Versie 1.0 🌟

We zijn live! Nour is jouw dagelijkse islamitische metgezel, waar je ook bent in de wereld.

Deze eerste versie bevat:
• Dagelijks dhikr, doea & aya
• Bibliotheek met adhkars & doea's
• Koran met 10 reciteerders
• Islamquiz
• Reeksen, prestaties & badges
• Sadaqa- & Zakat-calculator
• Nour Impact — liefdadigheid
• Slimme meldingen
• Beschikbaar in 11 talen

Premiumfuncties binnenkort beschikbaar. 🌙
Jazakum Allahu Khayran 🤲","In de drukte van het dagelijks leven verlies je gemakkelijk uit het oog wat het belangrijkst is.

Nour brengt je terug — één dhikr, één aya, één doea per keer.

Of je nu in de metro zit, tussen vergaderingen door, of 's nachts in bed ligt — Nour is dat stille moment van verbinding met Allah waar je ziel naar op zoek was.

———

🌟 DAGELIJKSE SPIRITUELE DOSIS
Elke ochtend wachten een nieuwe dhikr, aya en doea op je. Een zachte aansporing om je dag te beginnen met wat echt telt.

📿 DHIKR- & DOEA-BIBLIOTHEEK
Honderden authentieke adhkars en doea's voor elk moment van je dag. 's Ochtends. 's Avonds. Voor het slapen. Na het gebed. Nour staat voor je klaar.

📖 KORAN
10 gerenommeerde reciteerders. Laat de woorden van Allah de soundtrack van je leven zijn.

🧠 ISLAMQUIZ
Vergroot je kennis van de islam, vraag voor vraag. Want leren stopt nooit op dit pad.

💛 NOUR IMPACT
Jouw sadaqa, transparant gemaakt. Zie precies waar je gift naartoe gaat — en de levens die het verandert. Bereken je Zakat in enkele seconden.

🔔 SLIMME MELDINGEN
Een zachte herinnering wanneer je dag te luid wordt. Want sommige dingen zijn het waard om voor onderbroken te worden.

⭐ REEKSEN & PRESTATIES
Kleine stappen. Elke dag. Zie je spirituele gewoonten sterker worden zonder dat je het merkt.

———

Beschikbaar in 11 talen.
Met liefde gemaakt, voor de wereldwijde moslimgemeenschap.

Dit is Nour.
Jouw licht. Jouw dagelijkse metgezel. Jouw weg terug.

Download Nour. Begin je reis."
Turkish / Türkçe,tr-TR,tr-TR,Nour — İslami Uygulama,"Zikir, Dua ve Kur'an her gün","Günlük zikir, dua, Kur'an ve İslami quiz. Manevi yol arkadaşınız.","zikir,dua,kuran,islam,namaz,müslüman,ayet,tesbih,hadis,zekat,ezkar,islami,salah,quiz,nour","Nour'a hoş geldiniz — Sürüm 1.0 🌟

Yayındayız! Nour, dünyanın neresinde olursanız olun günlük İslami yol arkadaşınız olmak için burada.

Bu ilk sürüm şunları içerir:
• Günlük zikir, dua ve ayet
• Ezkar ve dua kütüphanesi
• 10 hafız ile Kur'an
• İslami quiz
• Seriler, başarılar ve rozetler
• Sadaka ve Zekat hesaplayıcı
• Nour Impact — hayır bağışları
• Akıllı bildirimler
• 11 dilde mevcut

Premium özellikler yakında. 🌙
Jazakum Allahu Khayran 🤲","Günlük hayatın koşuşturmasında, en önemli olanı gözden kaçırmak çok kolaydır.

Nour sizi geri getirir — bir zikir, bir ayet, bir dua ile.

İster metroda, ister toplantılar arasında, ister gece yatağınızda olun — Nour, ruhunuzun aradığı, Allah ile o sessiz bağ kurma anıdır.

———

🌟 GÜNLÜK MANEVİ DOZ
Her sabah sizi yeni bir zikir, ayet ve dua bekliyor. Gününüze gerçekten önemli olanla başlamanız için nazik bir hatırlatma.

📿 ZİKİR VE DUA KÜTÜPHANESİ
Gününüzün her anı için yüzlerce sahih ezkar ve dua. Sabah. Akşam. Uyumadan önce. Namazdan sonra. Nour yanınızda.

📖 KUR'AN
10 ünlü hafız. Allah'ın sözleri hayatınızın müziği olsun.

🧠 İSLAMİ QUIZ
İslam bilginizi soru soru artırın. Çünkü bu yolda öğrenmek asla bitmez.

💛 NOUR IMPACT
Sadakanız, şeffaf bir şekilde. Bağışınızın tam olarak nereye gittiğini — ve değiştirdiği hayatları görün. Zekatınızı saniyeler içinde hesaplayın.

🔔 AKILLI BİLDİRİMLER
Gününüz fazla gürültülü olduğunda nazik bir hatırlatma. Çünkü bazı şeyler için durmaya değer.

⭐ SERİLER VE BAŞARILAR
Küçük adımlar. Her gün. Manevi alışkanlıklarınızın farkına bile varmadan güçlendiğini izleyin.

———

11 dilde mevcut.
Dünya genelindeki Müslüman topluluk için sevgiyle yapıldı.

İşte bu Nour.
Sizin ışığınız. Günlük yol arkadaşınız. Geri dönüş yolunuz.

Nour'u indirin. Yolculuğunuza başlayın."
Indonesian / Bahasa Indonesia,id,id,Nour — Aplikasi Islami,"Zikir, Doa & Al-Qur'an harian","Zikir, doa, Al-Qur'an & kuis Islami harian. Teman spiritual Anda.","zikir,doa,quran,islam,salat,muslim,ayat,tasbih,hadis,zakat,azkar,islami,sholat,kuis,nour","Selamat datang di Nour — Versi 1.0 🌟

Kami sudah hadir! Nour hadir untuk menjadi teman Islami harian Anda, di mana pun Anda berada di dunia.

Versi pertama ini mencakup:
• Zikir, doa & ayat harian
• Pustaka azkar & doa
• Al-Qur'an dengan 10 qari
• Kuis Islami
• Rangkaian, pencapaian & lencana
• Kalkulator Sedekah & Zakat
• Nour Impact — donasi amal
• Notifikasi cerdas
• Tersedia dalam 11 bahasa

Fitur premium segera hadir. 🌙
Jazakum Allahu Khayran 🤲","Dalam kesibukan hidup sehari-hari, mudah sekali kehilangan apa yang paling penting.

Nour membawa Anda kembali — satu zikir, satu ayat, satu doa pada satu waktu.

Baik Anda sedang di kereta, di sela-sela rapat, atau berbaring di tempat tidur pada malam hari — Nour adalah momen tenang untuk terhubung dengan Allah yang dicari jiwa Anda.

———

🌟 DOSIS SPIRITUAL HARIAN
Setiap pagi, zikir, ayat, dan doa baru menanti Anda. Dorongan lembut untuk memulai hari dengan apa yang benar-benar penting.

📿 PUSTAKA ZIKIR & DOA
Ratusan azkar dan doa sahih untuk setiap momen dalam hari Anda. Pagi. Sore. Sebelum tidur. Setelah salat. Nour selalu menyertai Anda.

📖 AL-QUR'AN
10 qari ternama. Biarkan firman Allah menjadi pengiring hidup Anda.

🧠 KUIS ISLAMI
Tingkatkan pengetahuan Anda tentang Islam, satu pertanyaan demi satu. Karena belajar tidak pernah berhenti di jalan ini.

💛 NOUR IMPACT
Sedekah Anda, dibuat transparan. Lihat ke mana tepatnya donasi Anda pergi — dan kehidupan yang diubahnya. Hitung Zakat Anda dalam hitungan detik.

🔔 NOTIFIKASI CERDAS
Pengingat lembut saat hari Anda menjadi terlalu riuh. Karena beberapa hal layak untuk menyela.

⭐ RANGKAIAN & PENCAPAIAN
Langkah-langkah kecil. Setiap hari. Saksikan kebiasaan spiritual Anda menguat tanpa Anda sadari.

———

Tersedia dalam 11 bahasa.
Dibuat dengan cinta, untuk komunitas Muslim global.

Inilah Nour.
Cahaya Anda. Teman harian Anda. Jalan Anda untuk kembali.

Unduh Nour. Mulailah perjalanan Anda."
Urdu / اردو,ur,ur,نور — اسلامی ایپ,ذکر، دعائیں اور قرآن روزانہ,روزانہ ذکر، دعائیں، قرآن اور اسلامی کوئز۔ آپ کا روحانی ساتھی۔,"ذکر,دعا,قرآن,اسلام,نماز,مسلمان,آیت,تسبیح,حدیث,زکوٰۃ,اذکار,اسلامی,نور,کوئز,دین","نور میں خوش آمدید — ورژن 1.0 🌟

ہم لائیو ہو گئے ہیں! نور آپ کا روزانہ کا اسلامی ساتھی بننے کے لیے حاضر ہے، دنیا میں آپ جہاں کہیں بھی ہوں۔

اس پہلے ورژن میں شامل ہے:
• روزانہ ذکر، دعا اور آیت
• اذکار اور دعاؤں کی لائبریری
• 10 قاریوں کے ساتھ قرآن
• اسلامی کوئز
• سلسلے، کامیابیاں اور بیجز
• صدقہ اور زکوٰۃ کیلکولیٹر
• نور امپیکٹ — خیراتی عطیات
• اسمارٹ نوٹیفیکیشنز
• 11 زبانوں میں دستیاب

پریمیم خصوصیات جلد آ رہی ہیں۔ 🌙
جزاکم اللہ خیراً 🤲","روزمرہ زندگی کی بھاگ دوڑ میں، سب سے اہم چیز کو نظر انداز کرنا آسان ہو جاتا ہے۔

نور آپ کو واپس لاتا ہے — ایک ذکر، ایک آیت، ایک دعا، ایک وقت میں۔

چاہے آپ میٹرو میں ہوں، میٹنگز کے درمیان ہوں، یا رات کو بستر پر لیٹے ہوں — نور وہ پُرسکون لمحہ ہے جب آپ اللہ سے جُڑتے ہیں، جسے آپ کی روح تلاش کر رہی تھی۔

———

🌟 روزانہ روحانی خوراک
ہر صبح، ایک نیا ذکر، آیت اور دعا آپ کا انتظار کرتی ہے۔ اپنے دن کا آغاز اُس چیز سے کرنے کی ایک نرم یاد دہانی جو واقعی اہم ہے۔

📿 ذکر اور دعا کی لائبریری
آپ کے دن کے ہر لمحے کے لیے سینکڑوں مستند اذکار اور دعائیں۔ صبح۔ شام۔ سونے سے پہلے۔ نماز کے بعد۔ نور آپ کے ساتھ ہے۔

📖 قرآن
10 مشہور قاری۔ اللہ کے کلام کو اپنی زندگی کی آواز بننے دیں۔

🧠 اسلامی کوئز
اسلام کے بارے میں اپنے علم میں اضافہ کریں، ایک سوال ایک وقت میں۔ کیونکہ اس راہ پر سیکھنا کبھی نہیں رکتا۔

💛 نور امپیکٹ
آپ کا صدقہ، مکمل شفافیت کے ساتھ۔ دیکھیں کہ آپ کا عطیہ بالکل کہاں جاتا ہے — اور کن زندگیوں کو بدلتا ہے۔ اپنی زکوٰۃ سیکنڈوں میں شمار کریں۔

🔔 اسمارٹ نوٹیفیکیشنز
جب آپ کا دن بہت شور بھرا ہو جائے تو ایک نرم یاد دہانی۔ کیونکہ کچھ چیزیں اس قابل ہیں کہ ان کے لیے رُکا جائے۔

⭐ سلسلے اور کامیابیاں
چھوٹے قدم۔ ہر روز۔ دیکھیں کہ آپ کی روحانی عادات بغیر احساس کے مضبوط ہوتی جاتی ہیں۔

———

11 زبانوں میں دستیاب۔
محبت کے ساتھ بنایا گیا، دنیا بھر کی مسلم برادری کے لیے۔

یہ ہے نور۔
آپ کی روشنی۔ آپ کا روزانہ کا ساتھی۔ آپ کی واپسی کا راستہ۔

نور ڈاؤن لوڈ کریں۔ اپنا سفر شروع کریں۔"
Bengali / বাংলা,bn (not on App Store — use as fallback),bn-IN,নূর — ইসলামিক অ্যাপ,"যিকর, দোয়া ও কুরআন প্রতিদিন","প্রতিদিন যিকর, দোয়া, কুরআন ও ইসলামিক কুইজ। আপনার আধ্যাত্মিক সঙ্গী।","যিকর,দোয়া,কুরআন,ইসলাম,নামাজ,মুসলিম,আয়াত,তাসবিহ,হাদিস,যাকাত,আযকার,ইসলামিক,নূর,কুইজ,সালাত","নূর-এ স্বাগতম — সংস্করণ 1.0 🌟

আমরা লাইভ! আপনি বিশ্বের যেখানেই থাকুন, নূর আপনার দৈনন্দিন ইসলামিক সঙ্গী হতে এসেছে।

এই প্রথম সংস্করণে রয়েছে:
• প্রতিদিনের যিকর, দোয়া ও আয়াত
• আযকার ও দোয়ার লাইব্রেরি
• 10 জন ক্বারীর সাথে কুরআন
• ইসলামিক কুইজ
• স্ট্রিক, অর্জন ও ব্যাজ
• সদকা ও যাকাত ক্যালকুলেটর
• নূর ইমপ্যাক্ট — দাতব্য দান
• স্মার্ট নোটিফিকেশন
• 11টি ভাষায় উপলব্ধ

প্রিমিয়াম ফিচার শীঘ্রই আসছে। 🌙
জাযাকুমুল্লাহু খাইরান 🤲","দৈনন্দিন জীবনের ব্যস্ততায়, যা সবচেয়ে গুরুত্বপূর্ণ তা দৃষ্টির আড়ালে চলে যাওয়া সহজ।

নূর আপনাকে ফিরিয়ে আনে — একটি যিকর, একটি আয়াত, একটি দোয়া, একবারে।

আপনি মেট্রোতে থাকুন, মিটিংয়ের ফাঁকে থাকুন, কিংবা রাতে বিছানায় শুয়ে থাকুন — নূর হলো আল্লাহর সাথে সংযোগের সেই নিরিবিলি মুহূর্ত, যা আপনার আত্মা খুঁজছিল।

———

🌟 দৈনিক আধ্যাত্মিক ডোজ
প্রতিদিন সকালে, একটি নতুন যিকর, আয়াত ও দোয়া আপনার জন্য অপেক্ষা করছে। যা সত্যিই গুরুত্বপূর্ণ তা দিয়ে দিন শুরু করার একটি কোমল আহ্বান।

📿 যিকর ও দোয়ার লাইব্রেরি
আপনার দিনের প্রতিটি মুহূর্তের জন্য শত শত বিশুদ্ধ আযকার ও দোয়া। সকাল। সন্ধ্যা। ঘুমানোর আগে। নামাজের পর। নূর আপনার সাথে আছে।

📖 কুরআন
10 জন প্রখ্যাত ক্বারী। আল্লাহর বাণীকে আপনার জীবনের সুর হতে দিন।

🧠 ইসলামিক কুইজ
ইসলাম সম্পর্কে আপনার জ্ঞান বাড়ান, একটি করে প্রশ্ন। কারণ এই পথে শেখা কখনো থামে না।

💛 নূর ইমপ্যাক্ট
আপনার সদকা, স্বচ্ছতার সাথে। দেখুন আপনার দান ঠিক কোথায় যাচ্ছে — এবং কোন জীবনগুলো বদলে দিচ্ছে। সেকেন্ডেই আপনার যাকাত হিসাব করুন।

🔔 স্মার্ট নোটিফিকেশন
আপনার দিন যখন খুব কোলাহলপূর্ণ হয়ে ওঠে তখন একটি কোমল স্মরণ। কারণ কিছু জিনিসের জন্য থেমে যাওয়ার মূল্য আছে।

⭐ স্ট্রিক ও অর্জন
ছোট ছোট পদক্ষেপ। প্রতিদিন। নিজের অজান্তেই আপনার আধ্যাত্মিক অভ্যাসগুলো শক্তিশালী হতে দেখুন।

———

11টি ভাষায় উপলব্ধ।
ভালোবাসা দিয়ে তৈরি, বিশ্বজুড়ে মুসলিম সম্প্রদায়ের জন্য।

এটাই নূর।
আপনার আলো। আপনার দৈনন্দিন সঙ্গী। আপনার ফিরে আসার পথ।

নূর ডাউনলোড করুন। আপনার যাত্রা শুরু করুন।"
Malay / Bahasa Melayu,ms,ms,Nour — Aplikasi Islamik,"Zikir, Doa & Al-Quran harian","Zikir, doa, Al-Quran & kuiz Islamik harian. Teman rohani anda.","zikir,doa,quran,islam,solat,muslim,ayat,tasbih,hadis,zakat,azkar,islamik,kuiz,nour","Selamat datang ke Nour — Versi 1.0 🌟

Kami kini langsung! Nour hadir untuk menjadi teman Islamik harian anda, di mana sahaja anda berada di dunia.

Versi pertama ini merangkumi:
• Zikir, doa & ayat harian
• Perpustakaan azkar & doa
• Al-Quran dengan 10 qari
• Kuiz Islamik
• Rentetan, pencapaian & lencana
• Kalkulator Sedekah & Zakat
• Nour Impact — sumbangan amal
• Pemberitahuan pintar
• Tersedia dalam 11 bahasa

Ciri premium akan datang tidak lama lagi. 🌙
Jazakum Allahu Khayran 🤲","Dalam kesibukan kehidupan seharian, mudah untuk kita terlepas pandang apa yang paling penting.

Nour membawa anda kembali — satu zikir, satu ayat, satu doa pada satu masa.

Sama ada anda berada di dalam tren, di antara mesyuarat, atau berbaring di katil pada waktu malam — Nour ialah saat tenang untuk berhubung dengan Allah yang dicari-cari oleh jiwa anda.

———

🌟 DOS ROHANI HARIAN
Setiap pagi, zikir, ayat dan doa baharu menanti anda. Satu peringatan lembut untuk memulakan hari anda dengan perkara yang benar-benar penting.

📿 PERPUSTAKAAN ZIKIR & DOA
Beratus-ratus azkar dan doa sahih untuk setiap saat dalam hari anda. Pagi. Petang. Sebelum tidur. Selepas solat. Nour sentiasa bersama anda.

📖 AL-QURAN
10 qari terkenal. Biarkan kalam Allah menjadi irama kehidupan anda.

🧠 KUIZ ISLAMIK
Tingkatkan pengetahuan anda tentang Islam, satu soalan pada satu masa. Kerana pembelajaran tidak pernah berhenti di jalan ini.

💛 NOUR IMPACT
Sedekah anda, dibuat telus. Lihat dengan tepat ke mana sumbangan anda pergi — dan kehidupan yang diubahnya. Kira Zakat anda dalam beberapa saat.

🔔 PEMBERITAHUAN PINTAR
Peringatan lembut apabila hari anda menjadi terlalu bising. Kerana sesetengah perkara berbaloi untuk kita berhenti seketika.

⭐ RENTETAN & PENCAPAIAN
Langkah-langkah kecil. Setiap hari. Saksikan tabiat rohani anda menjadi lebih kukuh tanpa anda sedari.

———

Tersedia dalam 11 bahasa.
Dibina dengan kasih sayang, untuk komuniti Muslim global.

Inilah Nour.
Cahaya anda. Teman harian anda. Jalan anda untuk kembali.

Muat turun Nour. Mulakan perjalanan anda."
Russian / Русский,ru,ru-RU,Nour — Исламское приложение,"Зикр, дуа и Коран каждый день","Зикр, дуа, Коран и исламский квиз каждый день. Ваш духовный спутник.","зикр,дуа,коран,ислам,намаз,мусульман,аят,тасбих,хадис,закят,азкар,молитва,нур,квиз","Добро пожаловать в Nour — Версия 1.0 🌟

Мы запустились! Nour здесь, чтобы стать вашим ежедневным исламским спутником, где бы вы ни находились в мире.

Эта первая версия включает:
• Ежедневный зикр, дуа и аят
• Библиотека азкаров и дуа
• Коран с 10 чтецами
• Исламский квиз
• Серии, достижения и значки
• Калькулятор садаки и закята
• Nour Impact — благотворительные пожертвования
• Умные уведомления
• Доступно на 11 языках

Премиум-функции скоро появятся. 🌙
Jazakum Allahu Khayran 🤲","В суете повседневной жизни легко упустить из виду то, что важнее всего.

Nour возвращает вас — один зикр, один аят, одна дуа за раз.

Будь вы в метро, между встречами или лёжа в постели ночью — Nour это тот тихий миг связи с Аллахом, который искала ваша душа.

———

🌟 ЕЖЕДНЕВНАЯ ДУХОВНАЯ ДОЗА
Каждое утро вас ждут новый зикр, аят и дуа. Мягкое напоминание начать день с того, что действительно важно.

📿 БИБЛИОТЕКА ЗИКРА И ДУА
Сотни достоверных азкаров и дуа для каждого момента вашего дня. Утром. Вечером. Перед сном. После молитвы. Nour всегда с вами.

📖 КОРАН
10 известных чтецов. Пусть слова Аллаха станут саундтреком вашей жизни.

🧠 ИСЛАМСКИЙ КВИЗ
Расширяйте свои знания об исламе, вопрос за вопросом. Потому что на этом пути обучение никогда не прекращается.

💛 NOUR IMPACT
Ваша садака — прозрачно. Видите точно, куда идёт ваше пожертвование и какие жизни оно меняет. Рассчитайте свой закят за секунды.

🔔 УМНЫЕ УВЕДОМЛЕНИЯ
Мягкое напоминание, когда ваш день становится слишком шумным. Потому что ради некоторых вещей стоит прерваться.

⭐ СЕРИИ И ДОСТИЖЕНИЯ
Маленькие шаги. Каждый день. Наблюдайте, как ваши духовные привычки крепнут, даже не замечая этого.

———

Доступно на 11 языках.
Создано с любовью для мусульманского сообщества по всему миру.

Это Nour.
Ваш свет. Ваш ежедневный спутник. Ваш путь домой.

Скачайте Nour. Начните своё путешествие."
